STREETNUMBER,STREET,TOTALUNITS,BUSINESSOPERATOR,TOTALOUTSTANDING,LATITUDE,LONGITUDE,DETAILURL
166,E HASTINGS STREET,45,Provincial Rental Housing Corporation,1,49.281045960000000,-123.100535550000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=166&street=E HASTINGS STREET
177,E HASTINGS STREET,81,PHS Community Services Society,1,49.281656230000003,-123.100497739999990,http://app.vancouver.ca/RPS_Net/Default.aspx?num=177&street=E HASTINGS STREET
235,E HASTINGS STREET,74,HE Rooms Inc,35,49.281612359999997,-123.098808690000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=235&street=E HASTINGS STREET
237,E HASTINGS STREET,60,The Natives Of Toi Shan Benevolent Society,7,49.281610200000003,-123.098709959999990,http://app.vancouver.ca/RPS_Net/Default.aspx?num=237&street=E HASTINGS STREET
241,E HASTINGS STREET,18,Douglas Chang,2,49.281608490000004,-123.098604790000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=241&street=E HASTINGS STREET
249,E HASTINGS STREET,39,Guo Zhu & Shiao Bing Wu,2,49.281604620000003,-123.098395100000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=249&street=E HASTINGS STREET
258,E HASTINGS STREET,26,Provincial Rental Housing Corporation,2,49.280936599999997,-123.098219290000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=258&street=E HASTINGS STREET
341,E HASTINGS STREET,26,Summer Hotel Ltd,31,49.281572030000000,-123.096528690000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=341&street=E HASTINGS STREET
367,E HASTINGS STREET,33,Kam C Woo & Lin D Woo,1,49.281563480000003,-123.096004120000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=367&street=E HASTINGS STREET
437,E HASTINGS STREET,12,Kam Y Loh & Merrilee I Loh,3,49.281531559999998,-123.094367860000010,http://app.vancouver.ca/RPS_Net/Default.aspx?num=437&street=E HASTINGS STREET
456,E HASTINGS STREET,52,Provincial Rental Housing Corporation,44,49.280916339999997,-123.094181890000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=456&street=E HASTINGS STREET
561,E HASTINGS STREET,54,Pepple Enterprises Ltd,3,49.281489420000000,-123.091997230000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=561&street=E HASTINGS STREET
684,E HASTINGS STREET,16,643838 BC Ltd,12,49.280840140000002,-123.089974960000010,http://app.vancouver.ca/RPS_Net/Default.aspx?num=684&street=E HASTINGS STREET
786,E HASTINGS STREET,44,Kim Thanh Nguyen (Kim Nguyen),6,49.280802960000003,-123.087700459999990,http://app.vancouver.ca/RPS_Net/Default.aspx?num=786&street=E HASTINGS STREET
1168,E HASTINGS STREET,32,Vernon Apartments Inc,1,49.280679640000002,-123.079733289999990,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1168&street=E HASTINGS STREET
1190,E HASTINGS STREET,30,TLA Enterprises Limited,16,49.280673569999998,-123.079406050000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1190&street=E HASTINGS STREET
3475,E HASTINGS STREET,59,Community Builders Benevolence Foundation (2013),1,49.281421240000000,-123.029331279999990,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3475&street=E HASTINGS STREET
3570,E HASTINGS STREET,14,Kathed Holdings Ltd,2,49.280852940000003,-123.026822110000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3570&street=E HASTINGS STREET
3683,E HASTINGS STREET,67,353806 BC Ltd,1,49.281387930000001,-123.024374420000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3683&street=E HASTINGS STREET
33,E PENDER STREET,14,Yue Shan Society,1,49.280702099999999,-123.103327920000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=33&street=E PENDER STREET
100,E PENDER STREET,45,0813069 BC Ltd,1,49.280171549999999,-123.102143740000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=100&street=E PENDER STREET
139,E PENDER STREET,34,Mah Society of Canada,5,49.280663279999999,-123.100966340000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=139&street=E PENDER STREET
349,E PENDER STREET,9,Lew Mow Wai Society,1,49.280557940000001,-123.095944149999990,http://app.vancouver.ca/RPS_Net/Default.aspx?num=349&street=E PENDER STREET
826,E PENDER STREET,6,Bernhard Nachtwey,5,49.279867830000001,-123.086513870000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=826&street=E PENDER STREET
827,E PENDER STREET,26,Association of United Ukranian Canadians,1,49.280386870000001,-123.086496229999990,http://app.vancouver.ca/RPS_Net/Default.aspx?num=827&street=E PENDER STREET
